THREAD ID;Time (s);Binary (%);OMP (%);System (%);
9608;37.19;94.95;1.37;3.68;
9616;34.63;98.57;1.00;0.43;
9617;34.75;98.01;1.21;0.78;
9618;34.74;98.01;1.04;0.95;
AVERAGE;35.33;97.34;1.16;1.50;
