Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
78;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-332;InBetween;32.60;11.32;1.08;
80;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;16.62;5.77;1.88;
81;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;15.80;5.49;1.98;
79;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;13.29;4.62;0.51;
159;binary;Neighbor::build(Atom&);neighbor.cpp:168-179;Innermost;9.48;3.29;0.64;
14;binary;Integrate::initialIntegrate();integrate.cpp:50-55;Single;2.60;0.90;3.78;
15;binary;Integrate::finalIntegrate();integrate.cpp:63-65;Single;1.00;0.35;2.77;
42;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-338;InBetween;0.78;0.27;0.75;
82;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.78;0.27;7.73;
75;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.74;0.26;2.57;
157;binary;Neighbor::build(Atom&);neighbor.cpp:144-179;InBetween;0.61;0.21;0.50;
74;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:344-344;Innermost;0.61;0.21;1.10;
76;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.43;0.15;1.44;
44;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;0.39;0.14;2.13;
43;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;0.35;0.12;1.23;
77;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.30;0.11;3.68;
24;binary;Atom::pack_reverse(int, int, double*);atom.cpp:178-180;Single;0.30;0.11;9.21;
45;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;0.30;0.11;2.17;
154;binary;Neighbor::binatoms(Atom&, int);neighbor.cpp:239-299;Innermost;0.26;0.09;1.42;
158;binary;Neighbor::build(Atom&);neighbor.cpp:150-165;Innermost;0.13;0.05;0.29;
23;binary;Atom::unpack_comm(int, int, double*);atom.cpp:166-168;Single;0.13;0.05;3.51;
25;binary;Atom::unpack_reverse(int, int*, double*);atom.cpp:191-193;Single;0.13;0.05;1.50;
27;binary;Atom::sort(Neighbor&);atom.cpp:394-403;Innermost;0.13;0.05;4.51;
21;binary;Atom::pack_comm(int, int*, double*, int*);atom.cpp:153-155;Single;0.09;0.03;1.32;
209;binary;Comm::borders(Atom&);comm.cpp:824-830;Innermost;0.04;0.02;0.81;
166;binary;Thermo::temperature(Atom&);thermo.cpp:153-156;Single;0.04;0.02;10.53;
