Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
78;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-332;InBetween;31.26;11.62;1.11;
80;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;14.31;5.32;1.75;
81;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;14.27;5.31;1.91;
79;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;13.22;4.92;0.54;
159;binary;Neighbor::build(Atom&);neighbor.cpp:168-179;Innermost;8.57;3.19;0.62;
14;binary;Integrate::initialIntegrate();integrate.cpp:50-55;Single;2.14;0.80;3.34;
42;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-338;InBetween;2.06;0.77;0.75;
45;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;1.17;0.44;2.54;
15;binary;Integrate::finalIntegrate();integrate.cpp:63-65;Single;1.01;0.38;3.15;
44;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;0.89;0.33;1.68;
74;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:344-344;Innermost;0.77;0.29;1.43;
157;binary;Neighbor::build(Atom&);neighbor.cpp:144-179;InBetween;0.77;0.29;0.63;
43;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;0.73;0.27;0.89;
82;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.61;0.23;7.52;
76;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.57;0.21;2.09;
263;binary;create_atoms(Atom&, int, int, int, double);setup.cpp:349-515;Single;0.32;0.12;0.81;
77;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.32;0.12;5.26;
158;binary;Neighbor::build(Atom&);neighbor.cpp:150-165;Innermost;0.24;0.09;0.62;
209;binary;Comm::borders(Atom&);comm.cpp:824-830;Innermost;0.24;0.09;2.58;
154;binary;Neighbor::binatoms(Atom&, int);neighbor.cpp:239-299;Innermost;0.24;0.09;1.45;
25;binary;Atom::unpack_reverse(int, int*, double*);atom.cpp:191-193;Single;0.20;0.08;2.29;
75;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.20;0.08;0.79;
24;binary;Atom::pack_reverse(int, int, double*);atom.cpp:178-180;Single;0.12;0.05;3.95;
27;binary;Atom::sort(Neighbor&);atom.cpp:394-403;Innermost;0.12;0.05;5.74;
20;binary;Atom::pbc();atom.cpp:110-120;Single;0.12;0.05;2.87;
156;binary;Neighbor::build(Atom&);neighbor.cpp:128-299;InBetween;0.12;0.05;1.21;
23;binary;Atom::unpack_comm(int, int, double*);atom.cpp:166-168;Single;0.12;0.05;3.51;
21;binary;Atom::pack_comm(int, int*, double*, int*);atom.cpp:153-155;Single;0.08;0.03;0.96;
39;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;0.04;0.02;1.75;
41;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.04;0.02;7.02;
